Dataset;Graphs;AvgNodes;AvgEdges;NodeFeatures;EdgeFeatures;TotalFeatures;ClassPercentages;CatAttr;CatAttrClasses
PTC_FM;349;14.11;14.48;1;1;2;-1: 59.03%, 1: 40.97%;labels_0;18
PTC_FR;351;14.56;15.00;1;1;2;-1: 65.53%, 1: 34.47%;;0
PTC_MM;336;13.97;14.32;1;1;2;-1: 61.61%, 1: 38.39%;;0
PTC_MR;344;14.29;14.69;1;1;2;-1: 55.81%, 1: 44.19%;;0
SF-295;40271;26.06;28.09;1;1;2;0: 94.97%, 1: 5.03%;labels_0;65
SF-295H;40271;46.65;48.68;1;1;2;0: 94.97%, 1: 5.03%;labels_0;66
SN12C;40004;26.08;28.11;1;1;2;0: 95.11%, 1: 4.89%;labels_0;65
SN12CH;40004;46.69;48.72;1;1;2;0: 95.11%, 1: 4.89%;labels_0;66
SW-620;40532;26.06;28.09;1;1;2;0: 94.05%, 1: 5.95%;labels_0;65
SW-620H;40532;46.63;48.66;1;1;2;0: 94.05%, 1: 5.95%;labels_0;66
Tox21_AhR_training;8169;18.09;18.50;1;1;2;0: 88.37%, 1: 11.63%;labels_0;50
Tox21_AhR_testing;272;22.13;23.05;1;1;2;0: 88.60%, 1: 11.40%;labels_0;15
Tox21_AhR_evaluation;607;17.64;18.06;1;1;2;0: 88.47%, 1: 11.53%;labels_0;25
Tox21_AR_training;9362;18.39;18.85;1;1;2;0: 95.94%, 1: 4.06%;labels_0;50
Tox21_AR_testing;292;22.35;23.32;1;1;2;0: 98.97%, 1: 1.03%;labels_0;15
Tox21_AR_evaluation;585;17.99;18.45;1;1;2;0: 97.95%, 1: 2.05%;labels_0;22
Tox21_AR-LBD_training;8599;17.77;18.16;1;1;2;0: 96.48%, 1: 3.52%;labels_0;49
Tox21_AR-LBD_testing;253;21.85;22.73;1;1;2;0: 98.42%, 1: 1.58%;labels_0;15
Tox21_AR-LBD_evaluation;580;17.09;17.42;1;1;2;0: 98.62%, 1: 1.38%;labels_0;23
Tox21_ARE_training;7167;16.28;16.52;1;1;2;0: 84.68%, 1: 15.32%;labels_0;46
Tox21_ARE_testing;234;21.99;22.91;1;1;2;0: 79.49%, 1: 20.51%;labels_0;15
Tox21_ARE_evaluation;552;17.01;17.33;1;1;2;0: 83.51%, 1: 16.49%;labels_0;25
Tox21_aromatase_training;7226;17.50;17.79;1;1;2;0: 95.02%, 1: 4.98%;labels_0;47
Tox21_aromatase_testing;214;21.65;22.36;1;1;2;0: 91.59%, 1: 8.41%;labels_0;14
Tox21_aromatase_evaluation;528;16.74;16.99;1;1;2;0: 92.61%, 1: 7.39%;labels_0;22
Tox21_ATAD5_training;9091;17.89;18.30;1;1;2;0: 96.28%, 1: 3.72%;labels_0;50
Tox21_ATAD5_testing;272;21.99;22.89;1;1;2;0: 90.81%, 1: 9.19%;labels_0;15
Tox21_ATAD5_evaluation;619;17.68;18.11;1;1;2;0: 94.02%, 1: 5.98%;labels_0;24
Tox21_ER_training;7697;17.58;17.94;1;1;2;0: 87.83%, 1: 12.17%;labels_0;49
Tox21_ER_testing;265;22.16;23.13;1;1;2;0: 89.81%, 1: 10.19%;labels_0;15
Tox21_ER_evaluation;515;17.66;18.10;1;1;2;0: 90.29%, 1: 9.71%;labels_0;21
Tox21_ER-LBD_training;8753;18.06;18.47;1;1;2;0: 94.90%, 1: 5.10%;labels_0;49
Tox21_ER-LBD_testing;287;22.28;23.23;1;1;2;0: 96.52%, 1: 3.48%;labels_0;15
Tox21_ER-LBD_evaluation;599;17.75;18.17;1;1;2;0: 96.66%, 1: 3.34%;labels_0;24
Tox21_HSE_training;8150;16.72;17.04;1;1;2;0: 94.75%, 1: 5.25%;labels_0;48
Tox21_HSE_testing;267;22.07;23.00;1;1;2;0: 96.25%, 1: 3.75%;labels_0;15
Tox21_HSE_evaluation;607;17.61;18.01;1;1;2;0: 96.71%, 1: 3.29%;labels_0;25
Tox21_MMP_training;7320;17.49;17.83;1;1;2;0: 84.40%, 1: 15.60%;labels_0;48
Tox21_MMP_testing;238;21.68;22.55;1;1;2;0: 84.03%, 1: 15.97%;labels_0;15
Tox21_MMP_evaluation;541;16.67;16.88;1;1;2;0: 89.28%, 1: 10.72%;labels_0;24
Tox21_p53_training;8634;17.79;18.19;1;1;2;0: 93.78%, 1: 6.22%;labels_0;48
Tox21_p53_testing;269;22.14;23.04;1;1;2;0: 89.59%, 1: 10.41%;labels_0;15
Tox21_p53_evaluation;613;17.34;17.72;1;1;2;0: 93.47%, 1: 6.53%;labels_0;24
Tox21_PPAR-gamma_training;8184;17.23;17.55;1;1;2;0: 97.29%, 1: 2.71%;labels_0;47
Tox21_PPAR-gamma_testing;267;22.04;22.93;1;1;2;0: 94.38%, 1: 5.62%;labels_0;15
Tox21_PPAR-gamma_evaluation;602;17.38;17.77;1;1;2;0: 94.85%, 1: 5.15%;labels_0;23
UACC257;39988;26.09;28.13;1;1;2;0: 95.89%, 1: 4.11%;labels_0;64
UACC257H;39988;46.68;48.71;1;1;2;0: 95.89%, 1: 4.11%;labels_0;65
Yeast;79601;21.54;22.84;1;1;2;0: 87.98%, 1: 12.02%;labels_0;74
YeastH;79601;39.45;40.75;1;1;2;0: 87.98%, 1: 12.02%;labels_0;75
DD;1178;284.32;715.66;1;0;1;1: 58.66%, 2: 41.34%;;0Dataset;Graphs;AvgNodes;AvgEdges;NodeFeatures;EdgeFeatures;TotalFeatures;ClassPercentages;CatAttr;CatAttrClasses
AIDS;2000;15.69;16.20;5;1;6;0: 20.00%, 1: 80.00%;labels_0;38
BZR;405;35.75;38.36;4;0;4;-1: 78.77%, 1: 21.23%;labels_0;10
COX2;467;41.22;43.45;4;0;4;-1: 78.16%, 1: 21.84%;labels_0;8
COX2_MD;303;26.28;335.12;1;2;3;-1: 51.16%, 1: 48.84%;labels_0;7
DHFR;756;42.43;44.54;4;0;4;-1: 39.02%, 1: 60.98%;labels_0;9
ER_MD;446;21.33;234.85;1;2;3;-1: 59.42%, 1: 40.58%;labels_0;10
MCF-7;27770;26.40;28.53;1;1;2;0: 91.74%, 1: 8.26%;labels_0;46
MCF-7H;27770;47.31;49.44;1;1;2;0: 91.74%, 1: 8.26%;labels_0;47
MOLT-4;39765;26.10;28.14;1;1;2;0: 92.10%, 1: 7.90%;labels_0;64
MOLT-4H;39765;46.70;48.74;1;1;2;0: 92.10%, 1: 7.90%;labels_0;65
Mutagenicity;4337;30.32;30.77;1;1;2;0: 55.36%, 1: 44.64%;labels_0;14
MUTAG;188;17.93;19.79;1;1;2;-1: 33.51%, 1: 66.49%;labels_0;7
NCI1;4110;29.87;32.30;1;0;1;0: 49.95%, 1: 50.05%;;0
NCI109;4127;29.68;32.13;1;0;1;0: 49.62%, 1: 50.38%;;0
NCI-H23;40353;26.07;28.10;1;1;2;0: 94.90%, 1: 5.10%;labels_0;65
NCI-H23H;40353;46.67;48.70;1;1;2;0: 94.90%, 1: 5.10%;labels_0;66
OVCAR-8;40516;26.08;28.11;1;1;2;0: 94.87%, 1: 5.13%;labels_0;65
OVCAR-8H;40516;46.67;48.70;1;1;2;0: 94.87%, 1: 5.13%;labels_0;66
P388;41472;22.11;23.56;1;1;2;0: 94.46%, 1: 5.54%;labels_0;72
P388H;41472;40.45;41.89;1;1;2;0: 94.46%, 1: 5.54%;labels_0;73
PC-3;27509;26.36;28.49;1;1;2;0: 94.30%, 1: 5.70%;labels_0;45
PC-3H;27509;47.20;49.33;1;1;2;0: 94.30%, 1: 5.70%;labels_0;46
PTC_FM;349;14.11;14.48;1;1;2;-1: 59.03%, 1: 40.97%;labels_0;18
PTC_FR;351;14.56;15.00;1;1;2;-1: 65.53%, 1: 34.47%;;0
PTC_MM;336;13.97;14.32;1;1;2;-1: 61.61%, 1: 38.39%;;0
PTC_MR;344;14.29;14.69;1;1;2;-1: 55.81%, 1: 44.19%;;0
SF-295;40271;26.06;28.09;1;1;2;0: 94.97%, 1: 5.03%;labels_0;65
SF-295H;40271;46.65;48.68;1;1;2;0: 94.97%, 1: 5.03%;labels_0;66
SN12C;40004;26.08;28.11;1;1;2;0: 95.11%, 1: 4.89%;labels_0;65
SN12CH;40004;46.69;48.72;1;1;2;0: 95.11%, 1: 4.89%;labels_0;66
SW-620;40532;26.06;28.09;1;1;2;0: 94.05%, 1: 5.95%;labels_0;65
SW-620H;40532;46.63;48.66;1;1;2;0: 94.05%, 1: 5.95%;labels_0;66
Tox21_AhR_training;8169;18.09;18.50;1;1;2;0: 88.37%, 1: 11.63%;labels_0;50
Tox21_AhR_testing;272;22.13;23.05;1;1;2;0: 88.60%, 1: 11.40%;labels_0;15
Tox21_AhR_evaluation;607;17.64;18.06;1;1;2;0: 88.47%, 1: 11.53%;labels_0;25
Tox21_AR_training;9362;18.39;18.85;1;1;2;0: 95.94%, 1: 4.06%;labels_0;50
Tox21_AR_testing;292;22.35;23.32;1;1;2;0: 98.97%, 1: 1.03%;labels_0;15
Tox21_AR_evaluation;585;17.99;18.45;1;1;2;0: 97.95%, 1: 2.05%;labels_0;22
Tox21_AR-LBD_training;8599;17.77;18.16;1;1;2;0: 96.48%, 1: 3.52%;labels_0;49
Tox21_AR-LBD_testing;253;21.85;22.73;1;1;2;0: 98.42%, 1: 1.58%;labels_0;15
Tox21_AR-LBD_evaluation;580;17.09;17.42;1;1;2;0: 98.62%, 1: 1.38%;labels_0;23
Tox21_ARE_training;7167;16.28;16.52;1;1;2;0: 84.68%, 1: 15.32%;labels_0;46
Tox21_ARE_testing;234;21.99;22.91;1;1;2;0: 79.49%, 1: 20.51%;labels_0;15
Tox21_ARE_evaluation;552;17.01;17.33;1;1;2;0: 83.51%, 1: 16.49%;labels_0;25
Tox21_aromatase_training;7226;17.50;17.79;1;1;2;0: 95.02%, 1: 4.98%;labels_0;47
Tox21_aromatase_testing;214;21.65;22.36;1;1;2;0: 91.59%, 1: 8.41%;labels_0;14
Tox21_aromatase_evaluation;528;16.74;16.99;1;1;2;0: 92.61%, 1: 7.39%;labels_0;22
Tox21_ATAD5_training;9091;17.89;18.30;1;1;2;0: 96.28%, 1: 3.72%;labels_0;50
Tox21_ATAD5_testing;272;21.99;22.89;1;1;2;0: 90.81%, 1: 9.19%;labels_0;15
Tox21_ATAD5_evaluation;619;17.68;18.11;1;1;2;0: 94.02%, 1: 5.98%;labels_0;24
Tox21_ER_training;7697;17.58;17.94;1;1;2;0: 87.83%, 1: 12.17%;labels_0;49
Tox21_ER_testing;265;22.16;23.13;1;1;2;0: 89.81%, 1: 10.19%;labels_0;15
Tox21_ER_evaluation;515;17.66;18.10;1;1;2;0: 90.29%, 1: 9.71%;labels_0;21
Tox21_ER-LBD_training;8753;18.06;18.47;1;1;2;0: 94.90%, 1: 5.10%;labels_0;49
Tox21_ER-LBD_testing;287;22.28;23.23;1;1;2;0: 96.52%, 1: 3.48%;labels_0;15
Tox21_ER-LBD_evaluation;599;17.75;18.17;1;1;2;0: 96.66%, 1: 3.34%;labels_0;24
Tox21_HSE_training;8150;16.72;17.04;1;1;2;0: 94.75%, 1: 5.25%;labels_0;48
Tox21_HSE_testing;267;22.07;23.00;1;1;2;0: 96.25%, 1: 3.75%;labels_0;15
Tox21_HSE_evaluation;607;17.61;18.01;1;1;2;0: 96.71%, 1: 3.29%;labels_0;25
Tox21_MMP_training;7320;17.49;17.83;1;1;2;0: 84.40%, 1: 15.60%;labels_0;48
Tox21_MMP_testing;238;21.68;22.55;1;1;2;0: 84.03%, 1: 15.97%;labels_0;15
Tox21_MMP_evaluation;541;16.67;16.88;1;1;2;0: 89.28%, 1: 10.72%;labels_0;24
Tox21_p53_training;8634;17.79;18.19;1;1;2;0: 93.78%, 1: 6.22%;labels_0;48
Tox21_p53_testing;269;22.14;23.04;1;1;2;0: 89.59%, 1: 10.41%;labels_0;15
Tox21_p53_evaluation;613;17.34;17.72;1;1;2;0: 93.47%, 1: 6.53%;labels_0;24
Tox21_PPAR-gamma_training;8184;17.23;17.55;1;1;2;0: 97.29%, 1: 2.71%;labels_0;47
Tox21_PPAR-gamma_testing;267;22.04;22.93;1;1;2;0: 94.38%, 1: 5.62%;labels_0;15
Tox21_PPAR-gamma_evaluation;602;17.38;17.77;1;1;2;0: 94.85%, 1: 5.15%;labels_0;23
UACC257;39988;26.09;28.13;1;1;2;0: 95.89%, 1: 4.11%;labels_0;64
UACC257H;39988;46.68;48.71;1;1;2;0: 95.89%, 1: 4.11%;labels_0;65
Yeast;79601;21.54;22.84;1;1;2;0: 87.98%, 1: 12.02%;labels_0;74
YeastH;79601;39.45;40.75;1;1;2;0: 87.98%, 1: 12.02%;labels_0;75
DD;1178;284.32;715.66;1;0;1;1: 58.66%, 2: 41.34%;;0
KKI;83;26.96;48.42;1;0;1;-1: 44.58%, 1: 55.42%;labels_0;190
OHSU;79;82.01;199.66;1;0;1;-1: 44.30%, 1: 55.70%;labels_0;190
Peking_1;85;39.31;77.35;1;0;1;-1: 57.65%, 1: 42.35%;labels_0;190
PROTEINS;1113;39.06;72.82;2;0;2;1: 59.57%, 2: 40.43%;;0
PROTEINS_full;1113;39.06;72.82;30;0;30;1: 59.57%, 2: 40.43%;labels_0;3
DBLP_v1;19456;10.48;19.65;1;1;2;0: 48.98%, 1: 51.02%;;0
TWITTER-Real-Graph-Partial;144033;4.03;4.98;1;1;2;-1: 52.80%, 1: 47.20%;;0
SYNTHETIC;300;100.00;196.00;2;0;2;0: 50.00%, 1: 50.00%;labels_0;8
DHFR_MD;393;23.87;283.02;1;2;3;-1: 67.94%, 1: 32.06%;labels_0;7
BZR_MD;306;21.30;225.06;1;2;3;-1: 48.69%, 1: 51.31%;labels_0;8

KKI;83;26.96;48.42;1;0;1;-1: 44.58%, 1: 55.42%;labels_0;190
OHSU;79;82.01;199.66;1;0;1;-1: 44.30%, 1: 55.70%;labels_0;190
Peking_1;85;39.31;77.35;1;0;1;-1: 57.65%, 1: 42.35%;labels_0;190
PROTEINS;1113;39.06;72.82;2;0;2;1: 59.57%, 2: 40.43%;;0
PROTEINS_full;1113;39.06;72.82;30;0;30;1: 59.57%, 2: 40.43%;labels_0;3
DBLP_v1;19456;10.48;19.65;1;1;2;0: 48.98%, 1: 51.02%;;0
TWITTER-Real-Graph-Partial;144033;4.03;4.98;1;1;2;-1: 52.80%, 1: 47.20%;;0
SYNTHETIC;300;100.00;196.00;2;0;2;0: 50.00%, 1: 50.00%;labels_0;8
DHFR_MD;393;23.87;283.02;1;2;3;-1: 67.94%, 1: 32.06%;labels_0;7
BZR_MD;306;21.30;225.06;1;2;3;-1: 48.69%, 1: 51.31%;labels_0;8
